account_id,district_id,frequency,date,Account_type,Mod_date,Card_assigned
276,38,POPLATEK MESICNE,971208,Savings account,2021-12-08,Silver
315,45,POPLATEK MESICNE,971208,NRI account,2021-12-08,Silver
3722,76,POPLATEK MESICNE,971207,Salary account,2021-12-07,Silver
736,75,POPLATEK MESICNE,971207,Salary account,2021-12-07,Silver
2787,1,POPLATEK MESICNE,971207,NRI account,2021-12-07,Silver
21,54,POPLATEK MESICNE,971206,Salary account,2021-12-06,Silver
1650,39,POPLATEK MESICNE,971206,Savings account,2021-12-06,Silver
800,11,POPLATEK MESICNE,971206,Savings account,2021-12-06,Silver
3415,75,POPLATEK MESICNE,971206,NRI account,2021-12-06,Silver
2918,15,POPLATEK PO OBRATU,971205,NRI account,2021-12-05,Gold
4140,28,POPLATEK MESICNE,971205,NRI account,2021-12-05,Silver
1960,31,POPLATEK MESICNE,971204,NRI account,2021-12-04,Silver
1049,18,POPLATEK MESICNE,971204,NRI account,2021-12-04,Silver
298,35,POPLATEK MESICNE,971202,Savings account,2021-12-02,Silver
1717,67,POPLATEK MESICNE,971202,NRI account,2021-12-02,Silver
10005,64,POPLATEK MESICNE,971129,Salary account,2021-11-29,Silver
4386,51,POPLATEK TYDNE,971129,Salary account,2021-11-29,Diamond
1868,16,POPLATEK TYDNE,971129,Savings account,2021-11-29,Diamond
232,45,POPLATEK MESICNE,971129,Savings account,2021-11-29,Silver
1798,46,POPLATEK MESICNE,971128,Savings account,2021-11-28,Silver
421,75,POPLATEK MESICNE,971127,NRI account,2021-11-27,Silver
3715,74,POPLATEK MESICNE,971127,Savings account,2021-11-27,Silver
934,9,POPLATEK MESICNE,971127,Savings account,2021-11-27,Silver
3333,44,POPLATEK MESICNE,971127,Salary account,2021-11-27,Silver
215,31,POPLATEK MESICNE,971125,Salary account,2021-11-25,Silver
1523,52,POPLATEK PO OBRATU,971124,NRI account,2021-11-24,Gold
3102,33,POPLATEK MESICNE,971123,Savings account,2021-11-23,Silver
295,66,POPLATEK MESICNE,971123,NRI account,2021-11-23,Silver
2979,10,POPLATEK MESICNE,971122,Savings account,2021-11-22,Silver
2850,57,POPLATEK MESICNE,971122,Savings account,2021-11-22,Silver
2832,12,POPLATEK MESICNE,971122,Salary account,2021-11-22,Silver
3105,37,POPLATEK MESICNE,971121,Savings account,2021-11-21,Silver
2162,50,POPLATEK MESICNE,971121,NRI account,2021-11-21,Silver
1125,1,POPLATEK TYDNE,971121,Savings account,2021-11-21,Diamond
3382,23,POPLATEK TYDNE,971120,Savings account,2021-11-20,Diamond
2125,43,POPLATEK TYDNE,971120,NRI account,2021-11-20,Diamond
3396,1,POPLATEK MESICNE,971120,Salary account,2021-11-20,Silver
3365,11,POPLATEK MESICNE,971118,Savings account,2021-11-18,Silver
2693,17,POPLATEK MESICNE,971117,NRI account,2021-11-17,Silver
1866,4,POPLATEK MESICNE,971117,Savings account,2021-11-17,Silver
149,43,POPLATEK MESICNE,971116,NRI account,2021-11-16,Silver
3082,33,POPLATEK MESICNE,971116,NRI account,2021-11-16,Silver
3156,1,POPLATEK PO OBRATU,971116,Salary account,2021-11-16,Gold
2438,71,POPLATEK MESICNE,971116,Salary account,2021-11-16,Silver
1833,54,POPLATEK MESICNE,971115,Salary account,2021-11-15,Silver
2221,58,POPLATEK MESICNE,971115,NRI account,2021-11-15,Silver
2658,27,POPLATEK MESICNE,971114,Salary account,2021-11-14,Silver
2721,74,POPLATEK MESICNE,971114,NRI account,2021-11-14,Silver
2920,73,POPLATEK MESICNE,971113,Savings account,2021-11-13,Silver
566,8,POPLATEK MESICNE,971113,Savings account,2021-11-13,Silver
1245,68,POPLATEK MESICNE,971112,NRI account,2021-11-12,Silver
1348,55,POPLATEK MESICNE,971112,Savings account,2021-11-12,Silver
3423,11,POPLATEK MESICNE,971110,Salary account,2021-11-10,Silver
2831,1,POPLATEK MESICNE,971110,Savings account,2021-11-10,Silver
2211,61,POPLATEK PO OBRATU,971110,Salary account,2021-11-10,Gold
3360,71,POPLATEK MESICNE,971110,Salary account,2021-11-10,Silver
952,41,POPLATEK MESICNE,971109,Savings account,2021-11-09,Silver
696,54,POPLATEK MESICNE,971109,NRI account,2021-11-09,Silver
2998,21,POPLATEK MESICNE,971109,Salary account,2021-11-09,Silver
867,60,POPLATEK MESICNE,971109,NRI account,2021-11-09,Silver
1208,4,POPLATEK MESICNE,971109,Savings account,2021-11-09,Silver
2391,2,POPLATEK MESICNE,971107,NRI account,2021-11-07,Silver
1140,49,POPLATEK MESICNE,971107,Salary account,2021-11-07,Silver
644,4,POPLATEK MESICNE,971106,NRI account,2021-11-06,Silver
2402,18,POPLATEK MESICNE,971106,NRI account,2021-11-06,Silver
3395,16,POPLATEK MESICNE,971105,NRI account,2021-11-05,Silver
2296,29,POPLATEK MESICNE,971105,Savings account,2021-11-05,Silver
10613,55,POPLATEK MESICNE,971104,Salary account,2021-11-04,Silver
606,75,POPLATEK MESICNE,971104,NRI account,2021-11-04,Silver
9227,51,POPLATEK MESICNE,971104,NRI account,2021-11-04,Silver
1723,70,POPLATEK MESICNE,971104,Salary account,2021-11-04,Silver
3404,33,POPLATEK MESICNE,971104,Savings account,2021-11-04,Silver
1657,12,POPLATEK MESICNE,971104,Salary account,2021-11-04,Silver
639,1,POPLATEK MESICNE,971103,NRI account,2021-11-03,Silver
3325,11,POPLATEK MESICNE,971103,NRI account,2021-11-03,Silver
1703,72,POPLATEK MESICNE,971102,Savings account,2021-11-02,Silver
3598,76,POPLATEK MESICNE,971102,Savings account,2021-11-02,Silver
782,42,POPLATEK MESICNE,971030,Salary account,2021-10-30,Silver
2784,40,POPLATEK MESICNE,971030,NRI account,2021-10-30,Silver
671,60,POPLATEK MESICNE,971029,Salary account,2021-10-29,Silver
643,64,POPLATEK MESICNE,971028,Savings account,2021-10-28,Silver
1340,52,POPLATEK MESICNE,971028,NRI account,2021-10-28,Silver
2703,61,POPLATEK MESICNE,971028,Savings account,2021-10-28,Silver
2413,33,POPLATEK MESICNE,971027,Savings account,2021-10-27,Silver
3963,9,POPLATEK MESICNE,971027,Salary account,2021-10-27,Silver
876,4,POPLATEK MESICNE,971026,Salary account,2021-10-26,Silver
1172,6,POPLATEK MESICNE,971025,Savings account,2021-10-25,Silver
398,69,POPLATEK MESICNE,971024,NRI account,2021-10-24,Silver
2174,18,POPLATEK MESICNE,971024,Savings account,2021-10-24,Silver
3705,20,POPLATEK MESICNE,971024,Salary account,2021-10-24,Silver
1209,23,POPLATEK MESICNE,971023,NRI account,2021-10-23,Silver
2371,15,POPLATEK TYDNE,971023,Salary account,2021-10-23,Diamond
852,57,POPLATEK MESICNE,971023,Savings account,2021-10-23,Silver
2152,22,POPLATEK MESICNE,971023,Savings account,2021-10-23,Silver
3857,54,POPLATEK MESICNE,971022,Salary account,2021-10-22,Silver
156,64,POPLATEK MESICNE,971022,Savings account,2021-10-22,Silver
3922,68,POPLATEK MESICNE,971022,NRI account,2021-10-22,Silver
2910,68,POPLATEK MESICNE,971021,NRI account,2021-10-21,Silver
2756,24,POPLATEK MESICNE,971021,Savings account,2021-10-21,Silver
1572,72,POPLATEK MESICNE,971021,NRI account,2021-10-21,Silver
1615,1,POPLATEK MESICNE,971020,Salary account,2021-10-20,Silver
2311,28,POPLATEK MESICNE,971019,NRI account,2021-10-19,Silver
2556,46,POPLATEK MESICNE,971019,Savings account,2021-10-19,Silver
961,1,POPLATEK MESICNE,971018,Savings account,2021-10-18,Silver
2579,24,POPLATEK MESICNE,971018,Savings account,2021-10-18,Silver
3919,34,POPLATEK MESICNE,971018,NRI account,2021-10-18,Silver
3875,44,POPLATEK MESICNE,971018,NRI account,2021-10-18,Silver
550,24,POPLATEK MESICNE,971017,Savings account,2021-10-17,Silver
3324,3,POPLATEK MESICNE,971017,Salary account,2021-10-17,Silver
1061,44,POPLATEK MESICNE,971017,Salary account,2021-10-17,Silver
2215,48,POPLATEK MESICNE,971017,Salary account,2021-10-17,Silver
2053,5,POPLATEK MESICNE,971016,NRI account,2021-10-16,Silver
3561,33,POPLATEK MESICNE,971015,Salary account,2021-10-15,Silver
1807,21,POPLATEK MESICNE,971015,NRI account,2021-10-15,Silver
11327,7,POPLATEK MESICNE,971015,NRI account,2021-10-15,Silver
2231,2,POPLATEK MESICNE,971014,Salary account,2021-10-14,Silver
966,15,POPLATEK MESICNE,971014,Salary account,2021-10-14,Silver
1968,16,POPLATEK TYDNE,971014,NRI account,2021-10-14,Diamond
2879,15,POPLATEK MESICNE,971014,NRI account,2021-10-14,Silver
3023,35,POPLATEK MESICNE,971014,Savings account,2021-10-14,Silver
1279,28,POPLATEK MESICNE,971013,NRI account,2021-10-13,Silver
502,1,POPLATEK MESICNE,971013,Salary account,2021-10-13,Silver
1506,51,POPLATEK MESICNE,971013,Savings account,2021-10-13,Silver
5708,64,POPLATEK TYDNE,971012,NRI account,2021-10-12,Diamond
7049,69,POPLATEK MESICNE,971012,NRI account,2021-10-12,Silver
121,55,POPLATEK MESICNE,971011,NRI account,2021-10-11,Silver
1727,9,POPLATEK MESICNE,971011,Savings account,2021-10-11,Silver
2097,46,POPLATEK MESICNE,971011,Savings account,2021-10-11,Silver
133,64,POPLATEK TYDNE,971011,Savings account,2021-10-11,Diamond
2897,51,POPLATEK MESICNE,971011,Savings account,2021-10-11,Silver
745,43,POPLATEK MESICNE,971009,Salary account,2021-10-09,Silver
3813,1,POPLATEK MESICNE,971009,NRI account,2021-10-09,Silver
1342,9,POPLATEK MESICNE,971009,Savings account,2021-10-09,Silver
2069,72,POPLATEK MESICNE,971008,Savings account,2021-10-08,Silver
205,1,POPLATEK MESICNE,971008,Savings account,2021-10-08,Silver
1150,29,POPLATEK MESICNE,971008,Salary account,2021-10-08,Silver
1608,26,POPLATEK MESICNE,971008,Salary account,2021-10-08,Silver
1494,1,POPLATEK MESICNE,971008,NRI account,2021-10-08,Silver
2272,48,POPLATEK MESICNE,971008,Savings account,2021-10-08,Silver
2634,45,POPLATEK MESICNE,971008,Savings account,2021-10-08,Silver
4143,55,POPLATEK MESICNE,971007,Salary account,2021-10-07,Silver
2133,11,POPLATEK MESICNE,971007,Salary account,2021-10-07,Silver
3342,59,POPLATEK MESICNE,971006,NRI account,2021-10-06,Silver
2715,42,POPLATEK MESICNE,971006,Salary account,2021-10-06,Silver
1596,70,POPLATEK MESICNE,971005,NRI account,2021-10-05,Silver
4116,6,POPLATEK MESICNE,971005,NRI account,2021-10-05,Silver
3401,38,POPLATEK TYDNE,971004,Salary account,2021-10-04,Diamond
2036,70,POPLATEK MESICNE,971003,NRI account,2021-10-03,Silver
6866,14,POPLATEK MESICNE,971002,Savings account,2021-10-02,Silver
4132,36,POPLATEK MESICNE,971002,Savings account,2021-10-02,Silver
2136,75,POPLATEK MESICNE,971002,Savings account,2021-10-02,Silver
2370,51,POPLATEK MESICNE,971001,Savings account,2021-10-01,Silver
1379,47,POPLATEK MESICNE,971001,NRI account,2021-10-01,Silver
1313,45,POPLATEK MESICNE,971001,NRI account,2021-10-01,Silver
129,74,POPLATEK MESICNE,971001,Savings account,2021-10-01,Silver
2007,45,POPLATEK MESICNE,970929,Savings account,2021-09-29,Silver
1064,70,POPLATEK MESICNE,970929,NRI account,2021-09-29,Silver
7274,11,POPLATEK MESICNE,970928,NRI account,2021-09-28,Silver
3383,29,POPLATEK MESICNE,970928,NRI account,2021-09-28,Silver
2461,1,POPLATEK MESICNE,970928,Salary account,2021-09-28,Silver
3916,8,POPLATEK MESICNE,970928,NRI account,2021-09-28,Silver
2745,60,POPLATEK MESICNE,970928,NRI account,2021-09-28,Silver
10152,34,POPLATEK MESICNE,970928,NRI account,2021-09-28,Silver
2846,1,POPLATEK MESICNE,970927,NRI account,2021-09-27,Silver
1443,54,POPLATEK MESICNE,970927,NRI account,2021-09-27,Silver
1992,48,POPLATEK MESICNE,970927,NRI account,2021-09-27,Silver
755,38,POPLATEK MESICNE,970927,NRI account,2021-09-27,Silver
3106,12,POPLATEK TYDNE,970926,Salary account,2021-09-26,Diamond
2312,65,POPLATEK MESICNE,970926,NRI account,2021-09-26,Silver
177,1,POPLATEK MESICNE,970926,NRI account,2021-09-26,Silver
4128,64,POPLATEK MESICNE,970926,Savings account,2021-09-26,Silver
89,68,POPLATEK MESICNE,970925,NRI account,2021-09-25,Silver
4616,1,POPLATEK MESICNE,970924,Salary account,2021-09-24,Silver
3757,64,POPLATEK MESICNE,970924,Savings account,2021-09-24,Silver
2942,44,POPLATEK MESICNE,970924,NRI account,2021-09-24,Silver
1814,17,POPLATEK MESICNE,970923,NRI account,2021-09-23,Silver
1718,71,POPLATEK MESICNE,970923,Salary account,2021-09-23,Silver
16,12,POPLATEK MESICNE,970923,Savings account,2021-09-23,Silver
1101,4,POPLATEK MESICNE,970922,Salary account,2021-09-22,Silver
179,1,POPLATEK TYDNE,970922,Savings account,2021-09-22,Diamond
3610,1,POPLATEK MESICNE,970922,NRI account,2021-09-22,Silver
3463,38,POPLATEK MESICNE,970921,Salary account,2021-09-21,Silver
3103,1,POPLATEK PO OBRATU,970921,NRI account,2021-09-21,Gold
1876,1,POPLATEK MESICNE,970920,Savings account,2021-09-20,Silver
2765,69,POPLATEK MESICNE,970920,NRI account,2021-09-20,Silver
387,72,POPLATEK MESICNE,970919,Salary account,2021-09-19,Silver
3300,71,POPLATEK MESICNE,970919,NRI account,2021-09-19,Silver
3657,62,POPLATEK MESICNE,970919,NRI account,2021-09-19,Silver
823,71,POPLATEK MESICNE,970919,Savings account,2021-09-19,Silver
5283,15,POPLATEK MESICNE,970918,Savings account,2021-09-18,Silver
1438,23,POPLATEK TYDNE,970918,Salary account,2021-09-18,Diamond
328,1,POPLATEK MESICNE,970918,NRI account,2021-09-18,Silver
118,68,POPLATEK MESICNE,970918,NRI account,2021-09-18,Silver
3603,3,POPLATEK MESICNE,970917,Savings account,2021-09-17,Silver
1872,61,POPLATEK MESICNE,970917,NRI account,2021-09-17,Silver
3671,21,POPLATEK MESICNE,970917,NRI account,2021-09-17,Silver
735,70,POPLATEK MESICNE,970917,NRI account,2021-09-17,Silver
3274,76,POPLATEK MESICNE,970917,NRI account,2021-09-17,Silver
5870,75,POPLATEK MESICNE,970917,Salary account,2021-09-17,Silver
1946,46,POPLATEK MESICNE,970916,Savings account,2021-09-16,Silver
402,68,POPLATEK MESICNE,970914,Salary account,2021-09-14,Silver
9156,18,POPLATEK MESICNE,970914,Savings account,2021-09-14,Silver
3987,25,POPLATEK MESICNE,970914,Salary account,2021-09-14,Silver
3852,20,POPLATEK MESICNE,970914,NRI account,2021-09-14,Silver
384,24,POPLATEK TYDNE,970914,NRI account,2021-09-14,Diamond
677,70,POPLATEK MESICNE,970913,NRI account,2021-09-13,Silver
6505,7,POPLATEK MESICNE,970913,Savings account,2021-09-13,Silver
1240,1,POPLATEK MESICNE,970911,NRI account,2021-09-11,Silver
1783,70,POPLATEK MESICNE,970911,Salary account,2021-09-11,Silver
7156,71,POPLATEK MESICNE,970911,NRI account,2021-09-11,Silver
1085,42,POPLATEK MESICNE,970911,NRI account,2021-09-11,Silver
2684,7,POPLATEK MESICNE,970910,Salary account,2021-09-10,Silver
2459,55,POPLATEK MESICNE,970910,Savings account,2021-09-10,Silver
2997,40,POPLATEK MESICNE,970909,Salary account,2021-09-09,Silver
10650,76,POPLATEK MESICNE,970909,NRI account,2021-09-09,Silver
1303,23,POPLATEK MESICNE,970908,Salary account,2021-09-08,Silver
783,1,POPLATEK MESICNE,970908,NRI account,2021-09-08,Silver
1729,53,POPLATEK MESICNE,970908,NRI account,2021-09-08,Silver
1790,70,POPLATEK MESICNE,970908,NRI account,2021-09-08,Silver
2351,74,POPLATEK MESICNE,970908,Savings account,2021-09-08,Silver
2480,35,POPLATEK MESICNE,970907,NRI account,2021-09-07,Silver
2444,76,POPLATEK MESICNE,970907,Savings account,2021-09-07,Silver
3516,36,POPLATEK TYDNE,970907,Savings account,2021-09-07,Diamond
178,59,POPLATEK MESICNE,970906,Salary account,2021-09-06,Silver
2079,55,POPLATEK MESICNE,970906,NRI account,2021-09-06,Silver
3444,53,POPLATEK TYDNE,970904,Salary account,2021-09-04,Diamond
1764,68,POPLATEK MESICNE,970904,Savings account,2021-09-04,Silver
4158,27,POPLATEK MESICNE,970904,Salary account,2021-09-04,Silver
585,4,POPLATEK MESICNE,970904,NRI account,2021-09-04,Silver
5698,1,POPLATEK MESICNE,970904,NRI account,2021-09-04,Silver
10243,44,POPLATEK MESICNE,970903,NRI account,2021-09-03,Silver
1026,20,POPLATEK MESICNE,970903,Salary account,2021-09-03,Silver
45,64,POPLATEK MESICNE,970902,Salary account,2021-09-02,Silver
2172,1,POPLATEK MESICNE,970902,Salary account,2021-09-02,Silver
909,30,POPLATEK MESICNE,970902,NRI account,2021-09-02,Silver
3950,48,POPLATEK MESICNE,970901,Salary account,2021-09-01,Silver
2142,42,POPLATEK MESICNE,970901,Salary account,2021-09-01,Silver
2492,73,POPLATEK MESICNE,970901,Savings account,2021-09-01,Silver
3901,12,POPLATEK MESICNE,970830,NRI account,2021-08-30,Silver
2422,27,POPLATEK MESICNE,970829,Savings account,2021-08-29,Silver
3556,58,POPLATEK MESICNE,970829,Salary account,2021-08-29,Silver
1154,5,POPLATEK TYDNE,970829,Savings account,2021-08-29,Diamond
2317,68,POPLATEK MESICNE,970828,Savings account,2021-08-28,Silver
3828,44,POPLATEK MESICNE,970828,Salary account,2021-08-28,Silver
3798,15,POPLATEK MESICNE,970827,Salary account,2021-08-27,Silver
859,13,POPLATEK MESICNE,970826,NRI account,2021-08-26,Silver
2394,62,POPLATEK MESICNE,970823,Savings account,2021-08-23,Silver
8639,46,POPLATEK MESICNE,970822,Salary account,2021-08-22,Silver
4003,25,POPLATEK MESICNE,970822,Salary account,2021-08-22,Silver
3537,45,POPLATEK MESICNE,970822,Salary account,2021-08-22,Silver
3070,56,POPLATEK MESICNE,970821,Salary account,2021-08-21,Silver
645,70,POPLATEK MESICNE,970821,Savings account,2021-08-21,Silver
1795,53,POPLATEK MESICNE,970821,Savings account,2021-08-21,Silver
2442,14,POPLATEK MESICNE,970821,NRI account,2021-08-21,Silver
2845,62,POPLATEK MESICNE,970821,Salary account,2021-08-21,Silver
1845,47,POPLATEK MESICNE,970820,NRI account,2021-08-20,Silver
1181,69,POPLATEK MESICNE,970820,NRI account,2021-08-20,Silver
2607,1,POPLATEK MESICNE,970819,NRI account,2021-08-19,Silver
653,27,POPLATEK MESICNE,970819,NRI account,2021-08-19,Silver
10799,76,POPLATEK MESICNE,970819,Salary account,2021-08-19,Silver
1567,10,POPLATEK MESICNE,970819,NRI account,2021-08-19,Silver
996,47,POPLATEK MESICNE,970818,NRI account,2021-08-18,Silver
37,20,POPLATEK MESICNE,970818,Salary account,2021-08-18,Silver
2829,66,POPLATEK MESICNE,970818,Salary account,2021-08-18,Silver
529,39,POPLATEK MESICNE,970818,Savings account,2021-08-18,Silver
1857,37,POPLATEK MESICNE,970818,Savings account,2021-08-18,Silver
9140,32,POPLATEK MESICNE,970818,Salary account,2021-08-18,Silver
2485,41,POPLATEK MESICNE,970818,Salary account,2021-08-18,Silver
1881,60,POPLATEK MESICNE,970817,Savings account,2021-08-17,Silver
2595,1,POPLATEK MESICNE,970817,NRI account,2021-08-17,Silver
13,76,POPLATEK MESICNE,970817,Salary account,2021-08-17,Silver
1355,1,POPLATEK MESICNE,970816,Savings account,2021-08-16,Silver
3062,17,POPLATEK MESICNE,970815,Savings account,2021-08-15,Silver
9433,59,POPLATEK MESICNE,970814,Salary account,2021-08-14,Silver
509,36,POPLATEK MESICNE,970814,NRI account,2021-08-14,Silver
1747,30,POPLATEK MESICNE,970814,Salary account,2021-08-14,Silver
2073,59,POPLATEK MESICNE,970814,Savings account,2021-08-14,Silver
3097,66,POPLATEK MESICNE,970814,Savings account,2021-08-14,Silver
792,3,POPLATEK MESICNE,970813,Savings account,2021-08-13,Silver
1043,1,POPLATEK MESICNE,970813,NRI account,2021-08-13,Silver
591,1,POPLATEK MESICNE,970812,Savings account,2021-08-12,Silver
5572,15,POPLATEK MESICNE,970811,Salary account,2021-08-11,Silver
3046,74,POPLATEK MESICNE,970811,Savings account,2021-08-11,Silver
2138,75,POPLATEK MESICNE,970811,Salary account,2021-08-11,Silver
1662,1,POPLATEK MESICNE,970811,Salary account,2021-08-11,Silver
386,1,POPLATEK MESICNE,970811,Savings account,2021-08-11,Silver
2776,23,POPLATEK MESICNE,970810,Savings account,2021-08-10,Silver
785,21,POPLATEK TYDNE,970809,Savings account,2021-08-09,Diamond
2338,59,POPLATEK MESICNE,970808,Savings account,2021-08-08,Silver
1319,56,POPLATEK PO OBRATU,970808,Salary account,2021-08-08,Gold
311,50,POPLATEK MESICNE,970808,NRI account,2021-08-08,Silver
3293,1,POPLATEK MESICNE,970808,Salary account,2021-08-08,Silver
1648,40,POPLATEK MESICNE,970808,Salary account,2021-08-08,Silver
38,19,POPLATEK TYDNE,970808,Salary account,2021-08-08,Diamond
1434,70,POPLATEK MESICNE,970808,Savings account,2021-08-08,Silver
7437,19,POPLATEK TYDNE,970808,Salary account,2021-08-08,Diamond
4784,46,POPLATEK MESICNE,970808,NRI account,2021-08-08,Silver
2644,1,POPLATEK MESICNE,970808,NRI account,2021-08-08,Silver
307,26,POPLATEK MESICNE,970807,Savings account,2021-08-07,Silver
1951,23,POPLATEK MESICNE,970807,NRI account,2021-08-07,Silver
4445,47,POPLATEK MESICNE,970807,Savings account,2021-08-07,Silver
2000,5,POPLATEK MESICNE,970806,Salary account,2021-08-06,Silver
3724,16,POPLATEK MESICNE,970806,Savings account,2021-08-06,Silver
3281,1,POPLATEK MESICNE,970806,Savings account,2021-08-06,Silver
326,61,POPLATEK MESICNE,970806,NRI account,2021-08-06,Silver
1389,34,POPLATEK MESICNE,970805,Salary account,2021-08-05,Silver
1033,32,POPLATEK MESICNE,970805,Savings account,2021-08-05,Silver
2449,23,POPLATEK MESICNE,970805,Salary account,2021-08-05,Silver
2927,37,POPLATEK MESICNE,970804,NRI account,2021-08-04,Silver
4091,9,POPLATEK MESICNE,970804,NRI account,2021-08-04,Silver
6602,74,POPLATEK MESICNE,970804,Salary account,2021-08-04,Silver
2558,46,POPLATEK MESICNE,970804,Savings account,2021-08-04,Silver
3208,29,POPLATEK MESICNE,970804,NRI account,2021-08-04,Silver
4533,68,POPLATEK MESICNE,970803,NRI account,2021-08-03,Silver
3343,1,POPLATEK MESICNE,970803,NRI account,2021-08-03,Silver
3686,77,POPLATEK MESICNE,970803,Salary account,2021-08-03,Silver
3381,68,POPLATEK MESICNE,970802,NRI account,2021-08-02,Silver
1522,48,POPLATEK MESICNE,970802,Salary account,2021-08-02,Silver
41,72,POPLATEK MESICNE,970802,Salary account,2021-08-02,Silver
1950,70,POPLATEK MESICNE,970801,Salary account,2021-08-01,Silver
811,14,POPLATEK TYDNE,970801,NRI account,2021-08-01,Diamond
3185,45,POPLATEK MESICNE,970729,NRI account,2021-07-29,Silver
5758,44,POPLATEK MESICNE,970728,NRI account,2021-07-28,Silver
1776,36,POPLATEK MESICNE,970727,Savings account,2021-07-27,Silver
547,24,POPLATEK MESICNE,970727,Savings account,2021-07-27,Silver
2197,46,POPLATEK MESICNE,970726,Salary account,2021-07-26,Silver
2587,1,POPLATEK MESICNE,970725,Salary account,2021-07-25,Silver
3346,1,POPLATEK MESICNE,970725,Salary account,2021-07-25,Silver
1454,46,POPLATEK MESICNE,970725,NRI account,2021-07-25,Silver
2196,11,POPLATEK MESICNE,970724,Savings account,2021-07-24,Silver
2646,6,POPLATEK MESICNE,970724,Salary account,2021-07-24,Silver
2722,69,POPLATEK MESICNE,970724,Salary account,2021-07-24,Silver
2679,67,POPLATEK MESICNE,970724,Salary account,2021-07-24,Silver
1794,74,POPLATEK MESICNE,970723,Salary account,2021-07-23,Silver
801,16,POPLATEK MESICNE,970723,NRI account,2021-07-23,Silver
3057,9,POPLATEK MESICNE,970723,Salary account,2021-07-23,Silver
5290,34,POPLATEK MESICNE,970721,Salary account,2021-07-21,Silver
2316,1,POPLATEK MESICNE,970721,Savings account,2021-07-21,Silver
611,46,POPLATEK MESICNE,970721,Salary account,2021-07-21,Silver
